po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
0,0,11,0,0,0,60,9691,92064.5,9.5,0.16,0,6483.0,1,147.3,-529
0,0,38,1,0,0,60,400,2800.0,7.0,0.12,0,14.36,1,5.49,57
0,0,35,0,0,0,30,37440,982800.0,26.25,0.88,0,5873.0,0,1926.29,-21
0,0,9,0,0,0,60,13860,97297.2,7.02,0.12,0,3848.91,1,136.41,147
0,0,26,0,0,0,60,67334,577725.72,8.58,0.14,0,26340.0,0,714.65,266
0,0,16,0,0,0,240,4000,7800.0,1.95,0.01,0,14897.04,1,16.82,250
0,0,31,1,0,0,300,5,117.26,23.45,0.08,0,0.0,0,0.15,364
0,0,28,1,0,0,120,2074,74746.96,36.04,0.3,0,6072.8,1,104.8,212
0,0,9,0,0,0,30,30000,99900.0,3.33,0.11,1,3426.68,0,140.06,219
0,0,39,1,0,0,100,2906,232480.0,80.0,0.8,0,19587.34,1,287.58,95
0,0,16,0,0,0,60,230,384.1,1.67,0.03,1,3426.68,1,0.83,39
0,0,31,1,0,0,60,19,592.65,31.19,0.52,1,0.0,0,0.61,189
0,0,11,0,0,0,60,12745,43333.0,3.4,0.06,0,8332.0,1,69.33,-524
0,0,24,1,0,0,60,162,8991.0,55.5,0.92,1,0.0,1,10.58,261
0,0,16,0,0,0,240,1292,2519.4,1.95,0.01,0,5324.69,1,4.16,300
0,0,37,1,0,0,60,786,43623.0,55.5,0.92,0,2158.88,1,53.96,183
0,0,32,0,0,0,60,4560,30825.6,6.76,0.11,0,1740.47,1,38.13,130
0,0,32,1,0,0,20,25,800.0,32.0,1.6,0,2395.42,1,0.99,208
0,0,35,0,0,0,30,18451,229161.42,12.42,0.41,0,6195.24,1,366.66,-404
0,0,22,1,0,0,20,15,480.0,32.0,1.6,0,572.55,1,0.59,81
0,0,24,0,0,0,60,6275,71911.5,11.46,0.19,1,3426.68,0,88.95,234
0,0,24,0,0,0,60,2484,23896.08,9.62,0.16,0,4754.19,0,33.5,197
0,0,31,1,0,0,60,300,1179.0,3.93,0.07,0,0.0,1,2.31,-110
0,0,9,0,0,0,240,3000,6300.0,2.1,0.01,0,5971.13,0,8.83,43
0,0,31,1,0,0,60,185954,459306.38,2.47,0.04,0,13677.68,0,990.26,164
0,0,26,0,0,0,60,858,1329.9,1.55,0.03,0,7363.73,0,2.61,-133
0,0,3,1,0,0,25,232,4640.0,20.0,0.8,0,1136.37,1,7.42,-454
